#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
5180038|2016-04-15T16:25:06|32.7906|130.7543|10.0|US|NEIC PDE|NEIC COMCAT|product.xml|MWW|7.0|US|KYUSHU, JAPAN
5179773|2016-04-13T13:55:17|23.0944|94.8654|136.0|US|NEIC PDE|NEIC COMCAT|product.xml|MWW|6.9|US|MYANMAR-INDIA BORDER REGION
5179532|2016-04-10T10:28:58|36.4725|71.1311|212.0|US|NEIC PDE|NEIC COMCAT|product.xml|MWC|6.6|GCMT|AFGHANISTAN-TAJIKISTAN BORD REG.
5179239|2016-04-07T03:32:53|-13.9805|166.5943|27.6|US|NEIC PDE|NEIC COMCAT|product.xml|MWC|6.6|GCMT|VANUATU ISLANDS
5179151|2016-04-06T06:58:48|-14.0683|166.6245|24.0|US|NEIC PDE|NEIC COMCAT|product.xml|MWC|6.7|GCMT|VANUATU ISLANDS
5178870|2016-04-03T08:23:52|-14.3235|166.8551|26.0|US|NEIC PDE|NEIC COMCAT|product.xml|MWC|6.8|GCMT|VANUATU ISLANDS
5176028|2016-03-02T12:49:48|-4.9521|94.3299|24.0|US|NEIC PDE|NEIC COMCAT|product.xml|MWC|7.8|GCMT|SOUTHWEST OF SUMATERA, INDONESIA
5172800|2016-01-30T03:25:12|53.9776|158.5463|177.0|US|NEIC PDE|NEIC COMCAT|product.xml|MWC|7.2|GCMT|NEAR EAST COAST OF KAMCHATKA
5172125|2016-01-24T10:30:30|59.6363|-153.4051|129.0|US|NEIC PDE|NEIC COMCAT|product.xml|MWC|7.1|GCMT|SOUTHERN ALASKA
5171826|2016-01-21T18:06:57|18.8239|-106.9337|10.0|US|NEIC PDE|NEIC COMCAT|product.xml|MWC|6.6|GCMT|OFF COAST OF JALISCO, MEXICO
5171121|2016-01-14T03:25:33|41.9723|142.781|46.0|US|NEIC PDE|NEIC COMCAT|product.xml|MWC|6.7|GCMT|HOKKAIDO, JAPAN REGION
5170889|2016-01-11T16:38:05|3.8965|126.8621|13.0|US|NEIC PDE|NEIC COMCAT|product.xml|MWC|6.5|GCMT|TALAUD ISLANDS, INDONESIA
5170077|2016-01-03T23:05:22|24.8036|93.6505|55.0|US|NEIC PDE|NEIC COMCAT|product.xml|MWC|6.7|GCMT|MYANMAR-INDIA BORDER REGION
